id,name,age,marriage_status,gender,weight,height,hours_of_exercise,avg_daily_calories,diet_type,if_smokes,if_drinks,if_drugs,city,city_temperature,diseases_or_conditions,income,education_level
43fcd1e0789a4a07aac0716e92a1d954,Phillip Mendez,23,divorced, ,124,128,16,2603,carb_rich,no,no,yes,London,39,none,395693,university
f57fd847330b41aa9f8846b9b2f58666,Robin Zuniga,53,single,female,100,209,5,1782,other,yes,yes,yes,Dubai,73,diabetes,548820,high_school
f15db8a9ad0646fa81919a990255c5e8,Tonya West,21,widowed,female,52,146,1,1378,carb_rich,yes,no,yes,Dubai,13,other,667604,university
d3bdd3c3a3b742da9b98d4691ec19d1d,Andrea Dougherty,48,married,male,121,155,21,3567,carb_rich,no,no,yes,London,10,diabetes,493690,college
c65d7ad1562c4105831f4df935f04f85,Tracy Johnson,19,single,male,58,161,10,553,protein_based,no,no,no,New York,49,none,512863,university
11bcb0ba399d46eca0fa6178b57b5833,Brittney Pollard,22,single,male,99,176,2,2254,other,no,yes,no,London,85,sugar_intolerance,592125,college
29442351ef334f129d958d98f25657db,Mary Lester,21,single,female,92,170,22,2648,other,yes,no,no,London,2,heart_disease,302977,high_school
b4772f1147cb4e64854b2541b8878cf8,Tiffany Warren,34,married,male,93,141,16,3431,other,yes,no,no,Paris,35,other,31044,college
cc0850d932d84f64bc9d4bd347ba4fe7,Karen Henderson,24,married,male,105,220,17,2676,vegetarian,no,no,yes,New York,76,sugar_intolerance,375785,university
414efa203b0d4ee9b4deb97c3c20902c,Roberto Sharp,38,married,female,49,165,17,2298,vegetarian,yes,no,yes,Shanghai,43,other,651004,high_school
7f5bb7f873e74671a4552fe78b173357,Luis Villarreal,60,single,male,109,122,22,3652,protein_based,no,no,no,Shanghai,75,other,94785,high_school
4aa48ad69a3f42cdbb1ee2a4779023d5,Jason Dodson,30,divorced, ,99,149,17,2228,protein_based,no,no,no,Shanghai,33,sugar_intolerance,741060,high_school
fd5269e6c96147288fc15862afd1d772,Philip Carr,52,divorced,female,69,185,17,2947,other,yes,yes,no,London,98,other,79088,university
dc40df19633141f198f6cc5659154cee,Steven Mitchell,35,divorced,female,61,217,11,2589,carb_rich,yes,no,no,New York,93,heart_disease,624967,university
9b5d6d7b32784a4ea69cde006b3fceb2,Roger Davila,57,divorced,female,54,168,18,3019,other,yes,yes,yes,New York,68,diabetes,995135,other
c793f4bb98db4d4c94cbbef3e8713e62,Kristen Foster,18,single,male,67,135,17,2143,carb_rich,no,no,yes,New York,39,none,688134,high_school
bb6a0f100eaf4679a9c60f106a88a265,Mark Lozano,57,widowed,female,59,184,22,444,protein_based,yes,no,yes,London,67,other,560031,other
3f2642468086434e978bce11cbf50223,Peter Wallace,27,divorced,female,64,176,16,3415,vegetarian,no,yes,yes,Delhi,30,none,788483,university
e158cf7509b54e8ba9b2dcb165b40426,Isaac Colon,24,married,female,83,173,17,137,other,no,yes,yes,Paris,22,none,905898,university
b3aae4f899c74fbeaeb9f6b113f8d499,Ashley Finley,19,divorced,female,66,191,12,3935,vegetarian,no,yes,yes,London,71,heart_disease,142860,college
57802bc4ceea4f1aa6eef2c801ae5784,Courtney Costa,41,married,male,119,199,13,592,protein_based,yes,yes,yes,London,34,other,905537,university
ba91eb681e204b6fa5783ba8e4b7c551,Stephen Cook,57,married,male,72,185,23,853,vegetarian,no,no,yes,Dubai,52,diabetes,388051,high_school
0d2acc686e054710abc4e2218e787e18,Bob Garcia,35,single,female,96,212,16,1032,protein_based,no,yes,no,Dubai,11,none,730073,university
ac63283f4d8245c89ecdc76a6af79e4c,Lori Davis,54,single,male,71,184,7,505,other,no,no,no,New York,8,sugar_intolerance,238047,other
1c1ab85db8854bffbea1b402fd6323e5,Dawn Carpenter,33,single,male,97,183,24,1536,other,no,no,yes,New York,31,diabetes,123893,high_school
f76a412504ad4a409ccaa4c0953e0b45,Mark Bennett,21,divorced,female,111,184,5,3440,carb_rich,no,yes,yes,Delhi,100,heart_disease,948752,other
4d38e40c4dab453cb15d9d4d002651ee,Jeffery Lowe,56,divorced, ,107,161,3,380,vegetarian,yes,yes,no,Dubai,90,diabetes,279734,university
e89010b9980941cba23a899a0a71f98f,David Mathews,28,widowed,male,113,217,15,3458,other,yes,no,yes,New York,65,none,798880,college
5d40fd9a871444adb35c5640bb515f1c,Steven Williams,17,single,male,127,139,2,3852,other,yes,no,no,Shanghai,19,other,133158,university
57431bcc208345f988b7eb3e9fbd99e6,Allison Simmons,40,married,female,110,154,7,520,vegetarian,yes,yes,no,London,72,other,240327,college
a39ca43fd2a643688f23c83fbe38df64,Debra Stevens,24,widowed,male,112,128,21,2817,other,yes,yes,yes,Paris,52,none,23133,university
a4e8c6c2bf5e48bd831dedc9fb56df91,Sara Mitchell,54,widowed,female,73,160,13,3149,other,yes,no,no,Tokyo,42,diabetes,419606,high_school
6be04db408a4444fa2eda7b676ab5060,Kristen Adams,42,widowed,male,115,177,8,2766,carb_rich,no,no,no,London,25,other,737198,college
a9726a66874e4eccb37c0efb248ae448,Pamela Anderson,57,widowed, ,82,201,2,1628,vegetarian,yes,yes,yes,Dubai,44,none,640675,other
79f700c1b61841a1a7856e09cfc3aaa2,Clayton Wright,45,widowed,female,49,207,5,2342,vegetarian,no,no,no,Delhi,98,none,843362,college
569e75d3c1ea43d894010ee195aa617c,Krista Smith,15,divorced,male,59,120,17,3916,carb_rich,no,no,yes,Shanghai,92,other,318420,college
9f5ba2e38f884382b241ea043de3ef0f,Marissa Medina,44,married,female,75,168,10,2331,protein_based,no,no,yes,Shanghai,89,none,143540,university
fee455df15974c8188bb659e25cfe8c5,Erin Thomas,42,married,male,105,147,16,1350,carb_rich,no,yes,no,London,69,diabetes,650188,college
6de527bc635d40b6aa5006993498846b,Jason Davila,15,widowed,female,81,122,12,513,carb_rich,yes,no,no,Shanghai,3,heart_disease,615057,college
e642dee603ea443ca92c131b01beb85e,Kimberly Haley,29,single,female,124,147,21,1272,vegetarian,no,no,yes,Delhi,26,sugar_intolerance,562705,high_school
d37d140c58754398901dd4aaa4c72144,Erin Aguilar,58,married,male,109,170,8,1029,other,no,no,yes,New York,58,sugar_intolerance,259923,other
bbdc63f432a74c1c8a6139e200244f97,Sandra Cook,38,divorced,male,104,216,23,768,carb_rich,yes,no,no,London,55,none,363243,university
73056ce1048f4126a4c47ce9c7866cb8,Shawn Harper,24,single,male,72,124,3,3821,vegetarian,yes,no,yes,Paris,17,other,485226,high_school
7a4b76f563234b2cb40c50fe69d1ff9b,Eric Ellis,59,single,male,57,212,17,2143,carb_rich,yes,no,no,London,70,none,918381,other
bd785473cd584ed78003bd7307c6f211,Joshua Galloway,46,divorced,male,59,188,12,1554,carb_rich,yes,yes,no,London,71,diabetes,207790,high_school
05d4cab299c543aa8202fd776da290f7,Anna Hunter,15,widowed,female,88,184,1,2041,carb_rich,no,yes,no,Delhi,27,other,561751,college
8b7642a0c41145c2a57c982955a23dac,Christina Campos,46,divorced,female,121,191,12,2065,carb_rich,no,no,no,Delhi,22,sugar_intolerance,525233,university
fe20f03032b34fd19fe6558f674f5802,Stephen Patel,16,married, ,87,145,17,223,other,yes,no,no,Paris,96,heart_disease,835348,high_school
